epoch,loss
0,0.255458
10,0.250479
20,0.245945
30,0.241037
40,0.235268
50,0.228329
60,0.220031
70,0.21021
80,0.19871
90,0.185461
100,0.170565
110,0.154326
120,0.137263
130,0.120077
140,0.103548
150,0.0883685
160,0.0749913
170,0.0635809
180,0.0540663
190,0.0462374
200,0.0398328
210,0.0345947
220,0.0302958
230,0.0267472
240,0.023797
250,0.0213253
260,0.0192381
270,0.0174617
280,0.0159384
290,0.0146227
300,0.0134786
310,0.0124772
320,0.0115956
330,0.010815
340,0.0101204
350,0.00949912
360,0.00894103
370,0.00843753
380,0.0079815
390,0.00756693
400,0.00718874
410,0.00684263
420,0.00652491
430,0.0062324
440,0.0059624
450,0.00571252
460,0.00548073
470,0.00526522
480,0.00506441
490,0.00487694
500,0.00470158
510,0.00453724
520,0.00438296
530,0.0042379
540,0.00410129
550,0.00397244
560,0.00385073
570,0.00373563
580,0.00362661
590,0.00352325
600,0.00342512
610,0.00333185
620,0.00324311
630,0.00315859
640,0.00307801
650,0.0030011
660,0.00292763
670,0.00285739
680,0.00279018
690,0.0027258
700,0.0026641
710,0.00260492
720,0.0025481
730,0.00249352
740,0.00244105
750,0.00239057
760,0.00234198
770,0.00229518
780,0.00225008
790,0.00220658
800,0.00216461
810,0.00212408
820,0.00208494
830,0.0020471
840,0.00201052
850,0.00197513
860,0.00194087
870,0.00190769
880,0.00187555
890,0.00184439
900,0.00181418
910,0.00178488
920,0.00175644
930,0.00172883
940,0.00170201
950,0.00167596
960,0.00165063
970,0.00162601
980,0.00160206
990,0.00157875
1000,0.00155607
1010,0.00153399
1020,0.00151248
1030,0.00149153
1040,0.00147111
1050,0.0014512
1060,0.00143179
1070,0.00141286
1080,0.00139439
1090,0.00137636
1100,0.00135876
1110,0.00134158
1120,0.00132479
1130,0.0013084
1140,0.00129237
1150,0.00127672
1160,0.00126141
1170,0.00124644
1180,0.00123179
1190,0.00121747
1200,0.00120345
1210,0.00118973
1220,0.0011763
1230,0.00116315
1240,0.00115028
1250,0.00113766
1260,0.00112531
1270,0.0011132
1280,0.00110133
1290,0.0010897
1300,0.00107829
1310,0.00106711
1320,0.00105614
1330,0.00104538
1340,0.00103482
1350,0.00102446
1360,0.0010143
1370,0.00100432
1380,0.000994519
1390,0.0009849
1400,0.000975453
1410,0.000966174
1420,0.000957059
1430,0.000948104
1440,0.000939305
1450,0.000930658
1460,0.000922158
1470,0.000913803
1480,0.000905589
1490,0.000897512
1500,0.000889569
1510,0.000881757
1520,0.000874073
1530,0.000866513
1540,0.000859075
1550,0.000851756
1560,0.000844553
1570,0.000837464
1580,0.000830485
1590,0.000823615
1600,0.000816851
1610,0.00081019
1620,0.000803631
1630,0.00079717
1640,0.000790807
1650,0.000784538
1660,0.000778362
1670,0.000772276
1680,0.000766279
1690,0.00076037
1700,0.000754545
1710,0.000748804
1720,0.000743144
1730,0.000737564
1740,0.000732062
1750,0.000726637
1760,0.000721287
1770,0.00071601
1780,0.000710806
1790,0.000705673
1800,0.000700608
1810,0.000695612
1820,0.000690682
1830,0.000685818
1840,0.000681017
1850,0.00067628
1860,0.000671604
1870,0.000666988
1880,0.000662432
1890,0.000657934
1900,0.000653493
1910,0.000649109
1920,0.000644779
1930,0.000640504
1940,0.000636281
1950,0.000632111
1960,0.000627991
1970,0.000623922
1980,0.000619903
1990,0.000615932
2000,0.000612008
2010,0.000608132
2020,0.000604301
2030,0.000600516
2040,0.000596775
2050,0.000593077
2060,0.000589423
2070,0.000585811
2080,0.00058224
2090,0.00057871
2100,0.00057522
2110,0.00057177
2120,0.000568359
2130,0.000564985
2140,0.000561649
2150,0.000558351
2160,0.000555088
2170,0.000551861
2180,0.00054867
2190,0.000545513
2200,0.00054239
2210,0.000539301
2220,0.000536244
2230,0.00053322
2240,0.000530229
2250,0.000527268
2260,0.000524339
2270,0.00052144
2280,0.000518572
2290,0.000515733
2300,0.000512923
2310,0.000510142
2320,0.000507389
2330,0.000504664
2340,0.000501967
2350,0.000499297
2360,0.000496653
2370,0.000494036
2380,0.000491445
2390,0.000488879
2400,0.000486338
2410,0.000483822
2420,0.000481331
2430,0.000478864
2440,0.00047642
2450,0.000474
2460,0.000471603
2470,0.000469229
2480,0.000466877
2490,0.000464548
